Sample	ACTB	B2M	GAPDH	GYS1	Genotype
6000	24.32	18.709	15.553	19.993	NN
6001	22.005	17.155	14.811	20.643	NN
6008	22.873	18.321	15.668	19.974	PN
6055	22.593	18.004	14.746	19.648	PN
68	22.716	19.143	15.376	19.996	PP
53	22.904	18.007	15.744	20.417	PP
6003	22.504	18.178	15.517	19.542	NN
6004	22.199	18.314	15.21	20.196	NN
6007	22.669	18.559	15.442	20.116	NN
6062	21.802	18.219	15.419	19.609	PN
962	23.67	18.68	15.653	20.284	PP
NTC	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
6000	23.401	18.786	15.348	20.014	NN
6001	21.995	17.134	14.846	20.584	NN
6008	22.237	18.326	16.064	19.917	PN
6055	22.592	17.964	14.691	19.669	PN
68	22.455	19.106	15.398	19.99	PP
53	22.874	17.975	15.75	20.373	PP
6003	22.23	18.101	15.53	19.518	NN
6004	22.133	18.301	15.218	20.183	NN
6007	21.977	18.566	15.515	20.092	NN
6062	21.43	18.251	15.398	19.652	PN
962	22.482	18.657	15.707	20.312	PP
NTC	Undetermined	37	Undetermined	Undetermined	Undetermined
